"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007156","GO:0007156","homophilic cell-cell adhesion","5/78","173/23023",0.0289017341040462,8.53082851637765,5.79692261574002,0.000306466525317131,0.0327306249038696,0.0327306249038696,"Fat4/Cdh6/Hmcn2/Postn/Clstn2",5
"GO:0070296","GO:0070296","sarcoplasmic reticulum calcium ion transport","3/78","39/23023",0.0769230769230769,22.7051282051282,7.90963872744099,0.000313115931474989,0.0328925719490447,0.0328925719490447,"Ryr3/Pln/Dmd",3
"GO:0006937","GO:0006937","regulation of muscle contraction","5/78","175/23023",0.0285714285714286,8.43333333333333,5.75510607531929,0.000323111786058198,0.0333951665332409,0.0333951665332409,"Pln/Myocd/Ctnna3/Cacnb2/Dmd",5
"GO:0048738","GO:0048738","cardiac muscle tissue development","6/78","289/23023",0.0207612456747405,6.1280276816609,5.11488824839762,0.000447423167803814,0.0441925111054834,0.0441925111054834,"Sgcd/Jph2/Pln/Myh11/Myocd/Gata6",6
"GO:0051385","GO:0051385","response to mineralocorticoid","3/78","44/23023",0.0681818181818182,20.125,7.40349887315376,0.000448269853598068,0.0441925111054834,0.0441925111054834,"Agtr1a/Ntrk3/Nr3c2",3
"GO:0086002","GO:0086002","cardiac muscle cell action potential involved in contraction","3/78","44/23023",0.0681818181818182,20.125,7.40349887315376,0.000448269853598068,0.0441925111054834,0.0441925111054834,"Ctnna3/Cacnb2/Kcnd3",3
"GO:0086065","GO:0086065","cell communication involved in cardiac conduction","3/78","45/23023",0.0666666666666667,19.6777777777778,7.31223505366897,0.000479121826721386,0.0465183737216764,0.0465183737216764,"Ctnna3/Cacnb2/Kcnd3",3
"GO:0050807","GO:0050807","regulation of synapse organization","7/78","411/23023",0.0170316301703163,5.0271695052717,4.80314975274082,0.000487874186703306,0.0466611610208176,0.0466611610208176,"Syndig1/Abi3bp/Thbs2/Ntrk3/Clstn2/Slitrk3/Ptprd",7
"GO:0097553","GO:0097553","calcium ion transmembrane import into cytosol","5/78","193/23023",0.0259067357512953,7.64680483592401,5.40646531393348,0.000505562527542925,0.0476418334778686,0.0476418334778686,"Adcyap1r1/Ryr3/Agtr1a/Pln/Dmd",5
"GO:0007626","GO:0007626","locomotory behavior","6/78","297/23023",0.0202020202020202,5.96296296296296,5.01917748051887,0.000516677902780199,0.0479836521886307,0.0479836521886307,"Pln/Cxcl12/Gprin3/Adam22/Nr3c2/Dmd",6
"GO:0099560","GO:0099560","synaptic membrane adhesion","3/78","47/23023",0.0638297872340425,18.8404255319149,7.13824947092183,0.000544837933973961,0.0498760211557877,0.0498760211557877,"Cdh6/Slitrk3/Ptprd",3
